impression_event_id,query_id,search_event_id,user_id,session_id,event_ts,search_mode,merchant_id,merchant_name,rank_position,base_rank_score,final_rank_score,distance_km,route_distance_proxy,detour_proxy,reason_tags
imp_evt_00011,nearby_q_004,search_evt_0004,user_004,session_004_01,2026-03-22T09:21:08+00:00,nearby,ChIJvxjCZQArdTERbx0gfTlKUB8,Tiệm Rửa Xe ÔTÔ & Xe Máy Dũng Hoàng,4,0.370864,0.284819,3.6143413653849112,,,close|high_rating|service_rich|exterior_wash|car_supported
imp_evt_00012,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:02+00:00,nearby,ChIJ92uFsuYudTERvyQu9b8g8Ws,Rửa Xe Hiếu,1,0.641598,0.737853,0.4812372625189077,,,very_close|popular|trusted|open_now|exterior_wash
imp_evt_00013,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:04+00:00,nearby,ChIJ9Vs22kovdTERow6znv_rO8k,Sửa - rửa xe HOÀNG THƯƠNG,2,0.645889,0.694868,1.2543125584189394,,,very_close|high_rating|trusted|open_now|exterior_wash|motorbike_supported
imp_evt_00014,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:06+00:00,nearby,ChIJLXbu5dIvdTER7g8ZL14rluM,Ánh Dương Detailing,3,0.728758,0.669909,2.5683267467592237,,,close|high_rating|popular|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00015,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:08+00:00,nearby,ChIJh49VXwQvdTERteVbwQETYQM,Dịch Vụ Rửa Xe 109,4,0.674013,0.662949,1.3728631199615284,,,very_close|high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00016,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:10+00:00,nearby,ChIJ35wD6AIvdTERcdM5ZxvwoYA,Dịch Vụ Rửa Xe A Thuận,5,0.613364,0.657965,0.7818643057096196,,,very_close|high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00017,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:12+00:00,nearby,ChIJv7ct6zMvdTERf-RfP3cNIyk,Rửa Xe 170,6,0.811,0.642258,3.475580608615524,,,close|high_rating|popular|trusted|open_now|exterior_wash|car_supported
imp_evt_00018,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:14+00:00,nearby,ChIJ1YVX-igvdTERaJMz766nH6U,Tiệm Rửa Xe 39,7,0.718153,0.641988,2.3917900725846204,,,close|popular|trusted|open_now|exterior_wash|car_supported
imp_evt_00019,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:16+00:00,nearby,ChIJy7RnTAAvdTERuHa74kwoWG0,"Bãi Giữ Xe, Rửa Xe Ôtô 635 Nguyễn Trãi",8,0.585205,0.640643,1.1811527050480053,,,very_close|high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00020,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:18+00:00,nearby,ChIJMfw2TQAvdTER1SLfRI5lVQM,Rửa xe Ô tô - Xe máy 49 Thành Thái,9,0.605513,0.630781,1.5385885793260696,,,close|high_rating|open_now|service_rich|exterior_wash|car_supported
imp_evt_00021,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:20+00:00,nearby,ChIJzw1c3nMvdTERQ-_es7qw718,RỬA XE CẦU NÂNG-THAY NHỚT HƯNG PHÁT 24h/7-CHĂM SÓC XE AUTO CAR,10,0.725006,0.629105,3.148227327684627,,,close|high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00022,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:22+00:00,nearby,ChIJBRwQhiEvdTER3nNM1IQr4AU,Rửa xe 100B,11,0.635013,0.628074,1.456427638795412,,,very_close|high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00023,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:24+00:00,nearby,ChIJcUA7eZcvdTERegYfkM6PQMg,"Rửa xe, Thay nhớt Trí 48",12,0.6158,0.628015,1.8812569641864083,,,close|open_now|service_rich|exterior_wash|car_supported
imp_evt_00024,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:26+00:00,nearby,ChIJeUtNRwAvdTEReYPFG0EmXTA,Rửa xe oto xe máy SBS,13,0.781404,0.622919,3.491787772961323,,,close|high_rating|trusted|open_now|service_rich|exterior_wash|car_supported
imp_evt_00025,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:28+00:00,nearby,ChIJaS06HOMpdTERYF3alhmcRWg,2N Detailing Car,14,0.681017,0.621909,2.8322742941263206,,,close|high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00026,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:30+00:00,nearby,ChIJZXS7KtkudTERR1DL-aT9xH8,Rửa xe Kỳ Hòa,15,0.641368,0.621214,1.5523743806159829,,,close|popular|trusted|open_now|exterior_wash|car_supported
imp_evt_00027,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:32+00:00,nearby,ChIJCQmWVNMvdTERNLWPf_PE3WE,An Khang Detailing - Xưởng chăm xe vui vẻ,16,0.704536,0.618064,3.2001570694399497,,,close|high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00028,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:34+00:00,nearby,ChIJB4-7VVcvdTERFGf8fzD2VKk,Rửa Xe Mai Tuấn,17,0.620572,0.614534,2.375546747696322,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00029,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:36+00:00,nearby,ChIJV2CDWUsvdTERoCmtcUrUmaE,AUTOLINK VN Car Care Center,18,0.738314,0.608778,3.7492982074304457,,,close|high_rating|popular|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00030,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:38+00:00,nearby,ChIJN7tXj9ovdTERaHPUt88VtVs,Rửa xe Phong Phú,19,0.597205,0.60411,2.2788584643015426,,,close|open_now|exterior_wash
imp_evt_00031,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:40+00:00,nearby,ChIJSa9fcfIudTERW2NFs6Jbxcg,Tiệm Rửa Xe Minh Đức,20,0.570572,0.598906,1.7863076330568046,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00032,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:42+00:00,nearby,ChIJQasFZlQudTERUnY-pRaF33E,Rua Xe 63,21,0.568379,0.586424,2.013932775981216,,,close|high_rating|trusted|open_now|exterior_wash
imp_evt_00033,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:44+00:00,nearby,ChIJKbcy81UudTERkpGdL9UcyRE,Wash & Oil - Trung Tâm Đầu Nhớt Và Rửa Xe Chuyên Nghiệp,22,0.520864,0.584656,1.567174867380864,,,close|high_rating|open_now|exterior_wash
imp_evt_00034,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:46+00:00,nearby,ChIJx7Jetc4udTERaURpkyVmgdg,Tiệm Rửa Xe Dân Trí,23,0.669455,0.559761,3.0777537651609026,,,close|high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00035,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:48+00:00,nearby,ChIJM7P_4-wudTERQ9H4dubIkvs,Dịch Vụ Rửa Xe 140,24,0.522228,0.554888,2.0530265471192144,,,close|high_rating|open_now|exterior_wash
imp_evt_00036,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:50+00:00,nearby,ChIJ8wSxnnIvdTER4tuq_TmGSO8,Tiệm Rửa Xe F1,25,0.595864,0.55309,3.179723418204989,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00037,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:52+00:00,nearby,ChIJGfU0Z-ovdTERc2ehGxgW5Os,Tiệm Sửa Xe Rửa Xe Máy 528,26,0.644308,0.551386,3.749251049423653,,,close|high_rating|trusted|open_now|exterior_wash|motorbike_supported
imp_evt_00038,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:54+00:00,nearby,ChIJEfV43q4vdTERoRbWxB-ctVM,Rửa xe tự động JetX,27,0.694069,0.545434,3.7006267610287047,,,close|trusted|open_now|service_rich|exterior_wash|fast_lane
imp_evt_00039,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:56+00:00,nearby,ChIJ6yzjcqAvdTERcvVFrDNFz_M,RỬA XE 148,28,0.632128,0.545107,3.772365753818968,,,close|high_rating|trusted|open_now|exterior_wash
imp_evt_00040,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:28:58+00:00,nearby,ChIJM1rb4cMldTERJN3k_5HfeXk,Q7 Auto Center - Rửa xe - Chăm sóc ô tô - Phụ kiện ô tô,29,0.595745,0.538605,3.2548739725166467,,,close|open_now|exterior_wash|car_supported
imp_evt_00041,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:00+00:00,nearby,ChIJR49LHcItdTERIiTJj8DLsa0,XE ĐẸP DETAILING - ĐỘ XE Ô TÔ - ĐỖ XE 24/24 - RỬA XE,30,0.748584,0.538483,4.964709370155881,,,high_rating|popular|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00042,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:02+00:00,nearby,ChIJDbbGtm0vdTERVHUBjRDwqJ8,Trung Tâm Chăm Sóc Xe Minh Phát,31,0.631455,0.5383,3.6599355726801033,,,close|open_now|service_rich|exterior_wash|detailing
imp_evt_00043,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:04+00:00,nearby,ChIJE15xZR8pdTERjhHTMKfts8c,Trung tâm chăm sóc xe Phước Thắng,32,0.694856,0.537702,4.469833497763022,,,high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00044,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:06+00:00,nearby,ChIJqyScx6gvdTERn7780zpzSEs,Rửa xe Trọng Hữu,33,0.665363,0.535911,4.2229304095758105,,,high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00045,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:08+00:00,nearby,ChIJXYD4TbsvdTERiUCTTjugBFw,Dịch Vụ Rửa Xe Ô Tô Quang Thiên,34,0.651955,0.533066,4.135378358171265,,,high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00046,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:10+00:00,nearby,ChIJAxwRPmwvdTERJPonxNY8yCU,VinaWash Phú Nhuận,35,0.718807,0.532669,4.299563366662894,,,popular|trusted|open_now|exterior_wash|car_supported
imp_evt_00047,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:12+00:00,nearby,ChIJkSQ5sOsvdTERcNDqTNVgDCY,Rửa xe 79 Lý Thường Kiệt,36,0.58616,0.532381,3.254672683833322,,,close|open_now|exterior_wash|car_supported
imp_evt_00048,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:14+00:00,nearby,ChIJnYEfIYcvdTERyn-385Cj0go,"Thanh An Autocare - Vỏ Lốp, Cứu Hộ Ô Tô Chăm Sóc Xe Quận 7",37,0.849357,0.531732,5.799662479603447,,,high_rating|popular|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00049,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:16+00:00,nearby,ChIJ6fxG6kIvdTER-Zg9XHB3_pw,Rửa Xe Bảo Long,38,0.64164,0.529669,4.156330626509394,,,high_rating|trusted|open_now|exterior_wash
imp_evt_00050,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:18+00:00,nearby,ChIJA7wsYakvdTERbeVCCoCEQaU,Rửa xe A Bảy,39,0.521796,0.529143,2.3060483362339093,,,close|open_now|exterior_wash|car_supported
imp_evt_00051,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:20+00:00,nearby,ChIJpUp2VXAvdTER-hp9STrxCRM,Rửa Xe 116,40,0.625013,0.526,4.020558667830599,,,high_rating|trusted|open_now|exterior_wash
imp_evt_00052,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:22+00:00,nearby,ChIJW4knxqEvdTERhuMXJ4-RYL8,"Tiệm rửa xe, sửa xe, bảo dưỡng xe 2 bánh - TN Detailing-Motorcycle wash",41,0.72066,0.52524,4.9199470710752395,,,high_rating|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00053,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:24+00:00,nearby,ChIJxa8x3tEodTERlTMK1pUYjO4,Rửa Xe 192 - Phú Nhuận,42,0.710547,0.523446,4.312677791514464,,,popular|trusted|open_now|exterior_wash|car_supported
imp_evt_00054,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:26+00:00,nearby,ChIJHU8nWgAvdTERICXUCipASJs,Dịch vụ rửa xe cộng đồng Chung Cư Lò Gốm,43,0.628932,0.517952,4.15091679163247,,,high_rating|open_now|exterior_wash|car_supported
imp_evt_00055,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:28+00:00,nearby,ChIJe6mdgWYvdTERBPBrRWm4bRg,Rửa xe Khiêm Khải,44,0.518572,0.51271,2.578229338187992,,,close|open_now|exterior_wash|car_supported
imp_evt_00056,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:30+00:00,nearby,ChIJm15DTZMudTERfdLD0CoKvkk,Tiệm Rửa Xe Tuấn,45,0.483444,0.512326,2.257568730590907,,,close|open_now|exterior_wash
imp_evt_00057,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:32+00:00,nearby,ChIJZaU-GN8odTERlgCuwcK_Qt4,Rửa Xe Bi,46,0.713417,0.504977,5.289179000159151,,,high_rating|popular|trusted|open_now|exterior_wash|car_supported
imp_evt_00058,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:34+00:00,nearby,ChIJLUc60dYodTERVRhGesrzQM8,"Vòi rửa xe, máy bơm rửa xe",47,0.616728,0.502559,4.278670200847242,,,high_rating|open_now|exterior_wash|motorbike_supported
imp_evt_00059,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:36+00:00,nearby,ChIJz-Ha0L0udTERtKlii4wCgYY,Rửa Xe 427,48,0.545864,0.501404,3.2086355792588965,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00060,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:38+00:00,nearby,ChIJL2T8BY4udTERc2PfFI1z8OI,Tiệm Rửa Xe 130B Xóm Đất,49,0.529091,0.500782,2.913258076960901,,,close|open_now|exterior_wash|car_supported
imp_evt_00061,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:40+00:00,nearby,ChIJTaV9egApdTERWHqpwsaIPBA,Tèo rửa xe thay nhớt,50,0.598444,0.499077,4.1989855568161625,,,high_rating|open_now|exterior_wash
imp_evt_00062,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:42+00:00,nearby,ChIJm1O96dIudTERcD1jU6rlpNI,Tiệm Rửa Xe 67,51,0.547228,0.496314,3.2714502629397675,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00063,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:44+00:00,nearby,ChIJ8fZM-OwvdTER_f1tQEM9__I,Rửa xe Ô Tô - Xe Máy Kiết Lân,52,0.656308,0.494062,4.774794368120675,,,high_rating|open_now|service_rich|exterior_wash|car_supported
imp_evt_00064,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:46+00:00,nearby,ChIJBe0M-o8udTERv_YNVumFqGw,2A Rửa xe Chuyên Nghiệp,53,0.545864,0.491489,3.3785939818229145,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00065,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:48+00:00,nearby,ChIJ1ZUpBBEpdTERVTiWZz1qDEM,DIAMOND DETAILING - Chăm sóc xe chuyên nghiệp Tân Bình,54,0.718683,0.490452,5.545578595073394,,,high_rating|popular|trusted|open_now|service_rich|exterior_wash|detailing
imp_evt_00066,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:50+00:00,nearby,ChIJgwxC60spdTER3x4ANrltVxE,40 phan tây hồ,55,0.637592,0.484918,4.813781976245173,,,high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00067,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:52+00:00,nearby,ChIJd1yMf7YvdTERJDoGEVtrQy0,RỬA XE CHĂM SÓC XE Ô TÔ CHUYÊN NGHIỆP - LUX AUTO DETAILING,56,0.612205,0.484524,4.340667452843362,,,open_now|service_rich|exterior_wash|detailing
imp_evt_00068,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:54+00:00,nearby,ChIJV85ZmMwtdTERpyNN1B1pnN0,Bờm Auto - Thuê xe tự lái & rửa xe,57,0.693348,0.482515,5.476844064213781,,,high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00069,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:56+00:00,nearby,ChIJk40j8kIudTERxtnQif0wKqg,Dịch Vụ Rửa Xe 16,58,0.593068,0.482072,3.504734012959424,,,close|high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00070,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:29:58+00:00,nearby,ChIJOaLdHtUudTERUEZfCm_bDLs,Rửa Xe Tiến Đạt 2,59,0.550944,0.475736,3.141971202560976,,,close|trusted|open_now|exterior_wash
imp_evt_00071,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:00+00:00,nearby,ChIJwYnMSAAtdTERnVEwCXlMctE,Rửa xe máy - ô tô,60,0.658572,0.475716,5.140998830823956,,,high_rating|open_now|service_rich|exterior_wash|car_supported
imp_evt_00072,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:02+00:00,nearby,ChIJcdWx_y8vdTERmWnQ3Z1fsHI,Rửa Xe 20,61,0.533177,0.475134,3.502710665574265,,,close|high_rating|open_now|exterior_wash
imp_evt_00073,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:04+00:00,nearby,ChIJVRABlWgudTER_alEeJRJeOA,Phát Rửa Xe - Sửa Xe,62,0.558068,0.473558,3.82211543520619,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00074,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:06+00:00,nearby,ChIJdxjE8JMpdTERnAUyvPtxWuo,Car and motorcycle detailing,63,0.595864,0.473115,4.12214866024325,,,high_rating|open_now|service_rich|exterior_wash|detailing
imp_evt_00075,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:08+00:00,nearby,ChIJk3FpIa0vdTERpKPbusrwXtU,Rửa xe Bảo Đạt,64,0.542296,0.471857,3.6738132137763575,,,close|high_rating|open_now|exterior_wash
imp_evt_00076,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:10+00:00,nearby,ChIJQ2Sr_mQudTERND7syqFzzcA,TIỆM RỬA XE BÌNH TIÊN,65,0.558068,0.46905,3.899397103811824,,,close|high_rating|open_now|exterior_wash|car_supported
imp_evt_00077,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:12+00:00,nearby,ChIJ4125gUwpdTERrnzAA-z9GJs,TIỆM RỬA XE THAY NHỚT 25,66,0.602932,0.466556,4.689124371840553,,,high_rating|open_now|exterior_wash|car_supported
imp_evt_00078,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:14+00:00,nearby,ChIJv0s95ZMudTER6sXb07AgUZg,Tiệm Rửa Xe Hòa,67,0.455864,0.462306,2.807458308825561,,,close|open_now|exterior_wash
imp_evt_00079,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:16+00:00,nearby,ChIJSUcHOncvdTERA8WKVaoaJLs,Rửa Xe 37,68,0.566728,0.457944,4.1863568418704835,,,high_rating|open_now|exterior_wash|car_supported
imp_evt_00080,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:18+00:00,nearby,ChIJ43d1wJ4vdTERu3jbn2HEmZ4,Rửa xe Dũng,69,0.555856,0.456261,4.06596754844089,,,high_rating|trusted|open_now|exterior_wash
imp_evt_00081,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:20+00:00,nearby,ChIJnW6iKs4odTERV38FHz8ZxEs,Công Ty Cổ Phần Vietwash,70,0.5778,0.455607,4.451120814523989,,,open_now|exterior_wash|car_supported
imp_evt_00082,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:22+00:00,nearby,ChIJIYuOTg4pdTERRp8sLayExvI,Máy Rửa Xe Cao Áp - Công Ty Sơn Tùng Lâm,71,0.566728,0.450572,4.312729875588245,,,high_rating|open_now|exterior_wash|car_supported
imp_evt_00083,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:24+00:00,nearby,ChIJM5mkDZgudTERa_PHXXgHoII,Rửa xe Hoàng Quân,72,0.565308,0.44671,3.786543163711711,,,close|trusted|open_now|exterior_wash
imp_evt_00084,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:26+00:00,nearby,ChIJb1SyKw8vdTERs2Yk2qoCtz8,Rửa xe Thành Trung,73,0.585444,0.443595,4.97868094963807,,,high_rating|open_now|exterior_wash
imp_evt_00085,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:28+00:00,nearby,ChIJPQcH7HctdTERjGPXTmOGnFI,Green Wash Auto - Chăm sóc & Nâng cấp Oto,74,0.631092,0.443414,5.439561302204445,,,high_rating|open_now|exterior_wash|car_supported
imp_evt_00086,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:30+00:00,nearby,ChIJ7RD6mUQpdTERda6cUV17nPc,Rửa xe máy,75,0.652753,0.440702,5.5441319712283645,,,open_now|service_rich|exterior_wash|car_supported
imp_evt_00087,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:32+00:00,nearby,ChIJmWMY5WQpdTERo53lf4hICZA,Rửa xe ô tô tự động JetX - Xô Viết Nghệ Tĩnh,76,0.662592,0.439982,5.798409283726498,,,high_rating|trusted|open_now|service_rich|exterior_wash|fast_lane
imp_evt_00088,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:34+00:00,nearby,ChIJfV9rpNgtdTERuPdxlY4OJfU,Rửa Xe Bọt Tuyết - Thay Nhớt,77,0.648541,0.439006,5.6833167660921164,,,high_rating|trusted|open_now|exterior_wash|car_supported
imp_evt_00089,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:36+00:00,nearby,ChIJJf-tgPktdTERnMlZk454dfQ,Tiệm rửa xe 7talon - CN01,78,0.595572,0.435433,5.2315541132770225,,,high_rating|open_now|exterior_wash
imp_evt_00090,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:38+00:00,nearby,ChIJu2tmmpspdTERCK-1gOJhBL4,Rửa xe Đình An,79,0.618379,0.435031,5.466379438293967,,,high_rating|trusted|open_now|exterior_wash
imp_evt_00091,nearby_q_005,search_evt_0005,user_005,session_005_01,2026-03-22T09:30:40+00:00,nearby,ChIJJ7nc98AodTER-eUOFyYSut0,RỬA XE MINH ĐỨC( MINH ĐỨC WASH),80,0.656513,0.431968,5.932535735578043,,,high_rating|trusted|open_now|exterior_wash|car_supported
